买入日期,买入单价/¥,买入数量,卖出日期,卖出单价/¥,买入手续费/¥,卖出手续费/¥,收益/¥,扣除手续费的收益
2023-01-03,1725.01,57,2023-01-18,1880.21,98.3256 ,107.1720 ,8846.4,8640.90246
2023-01-20,1888,62,2023-01-30,1845.76,117.0560 ,114.4371 ,-2618.88,-2850.37312
2023-02-08,1818,61,2023-02-15,1861.82,110.8980 ,113.5710 ,2673.02,2448.55098
2023-02-17,1875,62,2023-02-21,1836,116.2500 ,113.8320 ,-2418,-2648.082
2023-02-27,1813.74,61,2023-03-02,1818.04,110.6381 ,110.9004 ,262.3,40.76142
2023-03-10,1762,63,2023-03-13,1766,111.0060 ,111.2580 ,252,29.736
2023-03-14,1750.92,64,2023-03-15,1751.99,112.0589 ,112.1274 ,68.48,-155.70624
2023-03-20,1775,63,2023-03-23,1778.62,111.8250 ,112.0531 ,228.06,4.18194
2023-03-27,1781.8,63,2023-03-31,1802.07,112.2534 ,113.5304 ,1277.01,1051.22619
2023-04-13,1713.42,67,2023-04-19,1741.88,114.7991 ,116.7060 ,1906.82,1675.3149
2023-04-24,1730.38,68,2023-04-28,1749.9,117.6658 ,118.9932 ,1327.36,1090.70096
2023-05-19,1746,69,2023-05-23,1710.9,120.4740 ,118.0521 ,-2421.9,-2660.4261
2023-05-31,1635.92,70,2023-06-05,1666.99,114.5144 ,116.6893 ,2174.9,1943.6963
2023-06-07,1668,72,2023-06-16,1744,120.0960 ,125.5680 ,5472,5226.336
2023-06-27,1728.38,75,2023-06-28,1713.71,129.6285 ,128.5283 ,-1100.25,-1358.40675
2023-06-30,1724.1,74,2023-07-04,1715.38,127.5834 ,126.9381 ,-645.28,-899.80152
2023-07-07,1700.9,74,2023-07-14,1729.97,125.8666 ,128.0178 ,2151.18,1897.29562
2023-07-19,1724,75,2023-08-01,1880,129.3000 ,141.0000 ,11700,11429.7
2023-08-02,1878.47,82,2023-08-04,1887.93,154.0345 ,154.8103 ,775.72,466.8752
2023-08-07,1890,82,2023-08-09,1875,154.9800 ,153.7500 ,-1230,-1538.73
2023-08-15,1820,83,2023-08-16,1828.05,151.0600 ,151.7282 ,668.15,365.36185
2023-08-23,1816.3,84,2023-08-30,1847,152.5692 ,155.1480 ,2578.8,2271.0828
2023-08-31,1851.05,85,2023-09-05,1861,157.3393 ,158.1850 ,845.75,530.22575
2023-09-15,1829.2,87,2023-09-20,1798.39,159.1404 ,156.4599 ,-2680.47,-2996.07033
2023-09-21,1849,83,2023-09-25,1816,153.4670 ,150.7280 ,-2739,-3043.195
2023-10-10,1778.5,83,2023-10-11,1786,147.6155 ,148.2380 ,622.5,326.6465
2023-10-23,1642.95,90,2023-11-06,1791.17,147.8655 ,161.2053 ,13339.8,13030.7292
2023-11-10,1764,99,2023-11-13,1765.27,174.6360 ,174.7617 ,125.73,-223.66773
2023-11-14,1772.93,99,2023-11-15,1760.05,175.5201 ,174.2450 ,-1275.12,-1624.88502
2023-11-17,1762.5,97,2023-11-22,1786,170.9625 ,173.2420 ,2279.5,1935.2955
2023-11-28,1774.71,99,2023-11-30,1760.28,175.6963 ,174.2677 ,-1428.57,-1778.53401
2023-12-18,1675,103,2023-12-19,1649.79,172.5250 ,169.9284 ,-2596.63,-2939.08337
2023-12-20,1670,100,2023-12-25,1670,167.0000 ,167.0000 ,0,-334
2023-12-26,1667.06,100,2023-12-27,1724.99,166.7060 ,172.4990 ,5793,5453.795
,,,,,,,,34807.4534 
,,,,,,,44214.3800 ,44.2144%
